category,subcategory,name,value
other_non_recurrent,n_contacts,6,0.02260072060268588
other_non_recurrent,n_contacts,7,0.01899770717327219
other_non_recurrent,n_contacts,8,0.013429413691451031
other_non_recurrent,n_contacts,9,0.010809040288241074
other_non_recurrent,n_contacts,10,0.007206026858827383
other_non_recurrent,n_contacts,11,0.004258106780216181
other_non_recurrent,n_contacts,12,0.0055682934818211596
other_non_recurrent,n_contacts,13,0.00491320013101867
other_non_recurrent,n_contacts,14,0.003930560104814936
other_non_recurrent,n_contacts,15,0.002947920078611202
other_non_recurrent,n_contacts,16,0.000982640026203734
other_non_recurrent,n_contacts,17,0.0013101867016049786
other_non_recurrent,n_contacts,18,0.0026203734032099572
other_non_recurrent,n_contacts,19,0.00032754667540124465
other_non_recurrent,n_contacts,20,0.0006550933508024893
other_non_recurrent,n_contacts,21,0.0006550933508024893
other_non_recurrent,n_contacts,22,0.000982640026203734
other_non_recurrent,n_contacts,23,0.0006550933508024893
other_non_recurrent,n_contacts,24,0.0006550933508024893
other_non_recurrent,n_contacts,25,0.00032754667540124465
other_non_recurrent,n_contacts,26,0.00032754667540124465
other_non_recurrent,n_contacts,27,0.00032754667540124465
other_non_recurrent,n_contacts,28,0.00032754667540124465
other_non_recurrent,n_contacts,29,0.00032754667540124465
other_non_recurrent,n_contacts,30,0.0006550933508024893
other_non_recurrent,n_contacts,31,0.00032754667540124465
other_non_recurrent,n_contacts,32,0.00032754667540124465
other_non_recurrent,n_contacts,43,0.00032754667540124465
other_non_recurrent,n_contacts,44,0.00032754667540124465
work_non_recurrent,n_contacts,0,0.82
work_non_recurrent,n_contacts,1,0.054615384615384614
work_non_recurrent,n_contacts,2,0.04384615384615385
work_non_recurrent,n_contacts,3,0.02076923076923077
work_non_recurrent,n_contacts,4,0.016923076923076923
work_non_recurrent,n_contacts,5,0.008461538461538461
work_non_recurrent,n_contacts,6,0.006153846153846154
work_non_recurrent,n_contacts,7,0.005384615384615384
work_non_recurrent,n_contacts,8,0.003076923076923077
work_non_recurrent,n_contacts,9,0.005384615384615384
work_non_recurrent,n_contacts,10,0.003076923076923077
work_non_recurrent,n_contacts,11,0.002307692307692308
work_non_recurrent,n_contacts,12,0.0007692307692307692
work_non_recurrent,n_contacts,14,0.002307692307692308
work_non_recurrent,n_contacts,15,0.0015384615384615385
work_non_recurrent,n_contacts,18,0.0015384615384615385
work_non_recurrent,n_contacts,20,0.0015384615384615385
work_non_recurrent,n_contacts,23,0.0007692307692307692
work_non_recurrent,n_contacts,27,0.0007692307692307692
work_non_recurrent,n_contacts,34,0.0007692307692307692
infection_prob,households,households,0.05
infection_prob,educ_school_0,educ_school_0,0.008
infection_prob,educ_school_1,educ_school_1,0.008
infection_prob,educ_school_2,educ_school_2,0.008
infection_prob,educ_preschool_0,educ_preschool_0,0.008
infection_prob,educ_nursery_0,educ_nursery_0,0.008
infection_prob,work_non_recurrent,work_non_recurrent,0.025
infection_prob,work_recurrent_daily,work_recurrent_daily,0.025
infection_prob,work_recurrent_weekly_0,work_recurrent_weekly_0,0.025
infection_prob,work_recurrent_weekly_1,work_recurrent_weekly_1,0.025
infection_prob,work_recurrent_weekly_2,work_recurrent_weekly_2,0.025
infection_prob,work_recurrent_weekly_3,work_recurrent_weekly_3,0.025
infection_prob,work_recurrent_weekly_4,work_recurrent_weekly_4,0.025
infection_prob,work_recurrent_weekly_5,work_recurrent_weekly_5,0.025
infection_prob,work_recurrent_weekly_6,work_recurrent_weekly_6,0.025
infection_prob,work_recurrent_weekly_7,work_recurrent_weekly_7,0.025
infection_prob,work_recurrent_weekly_8,work_recurrent_weekly_8,0.025
infection_prob,work_recurrent_weekly_9,work_recurrent_weekly_9,0.025
infection_prob,work_recurrent_weekly_10,work_recurrent_weekly_10,0.025
infection_prob,work_recurrent_weekly_11,work_recurrent_weekly_11,0.025
infection_prob,work_recurrent_weekly_12,work_recurrent_weekly_12,0.025
infection_prob,work_recurrent_weekly_13,work_recurrent_weekly_13,0.025
infection_prob,other_non_recurrent,other_non_recurrent,0.025
infection_prob,other_recurrent_daily,other_recurrent_daily,0.025
infection_prob,other_recurrent_weekly_0,other_recurrent_weekly_0,0.025
infection_prob,other_recurrent_weekly_1,other_recurrent_weekly_1,0.025
infection_prob,other_recurrent_weekly_2,other_recurrent_weekly_2,0.025
infection_prob,other_recurrent_weekly_3,other_recurrent_weekly_3,0.025
assortative_matching_work_non_recurrent_age_group,0-9,0-9,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,0-9,10-19,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,0-9,20-29,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,0-9,30-39,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,0-9,40-49,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,0-9,50-59,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,0-9,60-69,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,0-9,70-79,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,0-9,80-100,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,10-19,0-9,0.0
assortative_matching_work_non_recurrent_age_group,10-19,10-19,0.3333
assortative_matching_work_non_recurrent_age_group,10-19,20-29,0.1667
assortative_matching_work_non_recurrent_age_group,10-19,30-39,0.1667
assortative_matching_work_non_recurrent_age_group,10-19,40-49,0.3333
assortative_matching_work_non_recurrent_age_group,10-19,50-59,0.0
assortative_matching_work_non_recurrent_age_group,10-19,60-69,0.0
assortative_matching_work_non_recurrent_age_group,10-19,70-79,0.0
assortative_matching_work_non_recurrent_age_group,10-19,80-100,0.0
assortative_matching_work_non_recurrent_age_group,20-29,0-9,0.022897710228977103
assortative_matching_work_non_recurrent_age_group,20-29,10-19,0.0342965703429657
assortative_matching_work_non_recurrent_age_group,20-29,20-29,0.15998400159984003
assortative_matching_work_non_recurrent_age_group,20-29,30-39,0.23997600239976002
assortative_matching_work_non_recurrent_age_group,20-29,40-49,0.22287771222877711
assortative_matching_work_non_recurrent_age_group,20-29,50-59,0.13708629137086292
assortative_matching_work_non_recurrent_age_group,20-29,60-69,0.10858914108589142
assortative_matching_work_non_recurrent_age_group,20-29,70-79,0.039996000399960006
assortative_matching_work_non_recurrent_age_group,20-29,80-100,0.0342965703429657
assortative_matching_work_non_recurrent_age_group,30-39,0-9,0.010798920107989201
assortative_matching_work_non_recurrent_age_group,30-39,10-19,0.0377962203779622
assortative_matching_work_non_recurrent_age_group,30-39,20-29,0.1513848615138486
assortative_matching_work_non_recurrent_age_group,30-39,30-39,0.26487351264873515
assortative_matching_work_non_recurrent_age_group,30-39,40-49,0.2756724327567243
assortative_matching_work_non_recurrent_age_group,30-39,50-59,0.1513848615138486
assortative_matching_work_non_recurrent_age_group,30-39,60-69,0.0864913508649135
assortative_matching_work_non_recurrent_age_group,30-39,70-79,0.010798920107989201
assortative_matching_work_non_recurrent_age_group,30-39,80-100,0.010798920107989201
assortative_matching_work_non_recurrent_age_group,40-49,0-9,0.0188981101889811
assortative_matching_work_non_recurrent_age_group,40-49,10-19,0.0188981101889811
assortative_matching_work_non_recurrent_age_group,40-49,20-29,0.18108189181081893
assortative_matching_work_non_recurrent_age_group,40-49,30-39,0.26037396260373963
assortative_matching_work_non_recurrent_age_group,40-49,40-49,0.30186981301869814
assortative_matching_work_non_recurrent_age_group,40-49,50-59,0.13958604139586042
assortative_matching_work_non_recurrent_age_group,40-49,60-69,0.0565943405659434
assortative_matching_work_non_recurrent_age_group,40-49,70-79,0.0188981101889811
assortative_matching_work_non_recurrent_age_group,40-49,80-100,0.0037996200379962005
assortative_matching_work_non_recurrent_age_group,50-59,0-9,0.0041
assortative_matching_work_non_recurrent_age_group,50-59,10-19,0.0447
assortative_matching_work_non_recurrent_age_group,50-59,20-29,0.1179
assortative_matching_work_non_recurrent_age_group,50-59,30-39,0.2195
assortative_matching_work_non_recurrent_age_group,50-59,40-49,0.3577
assortative_matching_work_non_recurrent_age_group,50-59,50-59,0.1545
assortative_matching_work_non_recurrent_age_group,50-59,60-69,0.0772
assortative_matching_work_non_recurrent_age_group,50-59,70-79,0.0122
assortative_matching_work_non_recurrent_age_group,50-59,80-100,0.0122
assortative_matching_work_non_recurrent_age_group,60-69,0-9,0.0
assortative_matching_work_non_recurrent_age_group,60-69,10-19,0.2195
assortative_matching_work_non_recurrent_age_group,60-69,20-29,0.1463
assortative_matching_work_non_recurrent_age_group,60-69,30-39,0.1463
assortative_matching_work_non_recurrent_age_group,60-69,40-49,0.0732
assortative_matching_work_non_recurrent_age_group,60-69,50-59,0.1463
assortative_matching_work_non_recurrent_age_group,60-69,60-69,0.0976
assortative_matching_work_non_recurrent_age_group,60-69,70-79,0.122
assortative_matching_work_non_recurrent_age_group,60-69,80-100,0.0488
assortative_matching_work_non_recurrent_age_group,70-79,0-9,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,70-79,10-19,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,70-79,20-29,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,70-79,30-39,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,70-79,40-49,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,70-79,50-59,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,70-79,60-69,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,70-79,70-79,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,70-79,80-100,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,80-100,0-9,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,80-100,10-19,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,80-100,20-29,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,80-100,30-39,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,80-100,40-49,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,80-100,50-59,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,80-100,60-69,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,80-100,70-79,0.1111111111111111
assortative_matching_work_non_recurrent_age_group,80-100,80-100,0.1111111111111111
assortative_matching,work_non_recurrent,county,0.8
assortative_matching_other_non_recurrent_age_group,0-9,0-9,0.2911291129112912
assortative_matching_other_non_recurrent_age_group,0-9,10-19,0.1074107410741074
assortative_matching_other_non_recurrent_age_group,0-9,20-29,0.11251125112511251
assortative_matching_other_non_recurrent_age_group,0-9,30-39,0.20442044204420443
assortative_matching_other_non_recurrent_age_group,0-9,40-49,0.11381138113811382
assortative_matching_other_non_recurrent_age_group,0-9,50-59,0.0647064706470647
assortative_matching_other_non_recurrent_age_group,0-9,60-69,0.0737073707370737
assortative_matching_other_non_recurrent_age_group,0-9,70-79,0.022002200220022
assortative_matching_other_non_recurrent_age_group,0-9,80-100,0.010301030103010301
assortative_matching_other_non_recurrent_age_group,10-19,0-9,0.056199999999999986
assortative_matching_other_non_recurrent_age_group,10-19,10-19,0.3858999999999999
assortative_matching_other_non_recurrent_age_group,10-19,20-29,0.19019999999999995
assortative_matching_other_non_recurrent_age_group,10-19,30-39,0.13409999999999997
assortative_matching_other_non_recurrent_age_group,10-19,40-49,0.11319999999999997
assortative_matching_other_non_recurrent_age_group,10-19,50-59,0.056199999999999986
assortative_matching_other_non_recurrent_age_group,10-19,60-69,0.03439999999999999
assortative_matching_other_non_recurrent_age_group,10-19,70-79,0.022599999999999995
assortative_matching_other_non_recurrent_age_group,10-19,80-100,0.007199999999999998
assortative_matching_other_non_recurrent_age_group,20-29,0-9,0.03900390039003901
assortative_matching_other_non_recurrent_age_group,20-29,10-19,0.11691169116911693
assortative_matching_other_non_recurrent_age_group,20-29,20-29,0.37523752375237523
assortative_matching_other_non_recurrent_age_group,20-29,30-39,0.22412241224122414
assortative_matching_other_non_recurrent_age_group,20-29,40-49,0.10961096109610963
assortative_matching_other_non_recurrent_age_group,20-29,50-59,0.0706070607060706
assortative_matching_other_non_recurrent_age_group,20-29,60-69,0.029202920292029207
assortative_matching_other_non_recurrent_age_group,20-29,70-79,0.028002800280028006
assortative_matching_other_non_recurrent_age_group,20-29,80-100,0.007300730073007302
assortative_matching_other_non_recurrent_age_group,30-39,0-9,0.07330733073307331
assortative_matching_other_non_recurrent_age_group,30-39,10-19,0.0406040604060406
